BJD - 2454833, Corrected Flux
2749.610854175, 1.004254507,
2749.631286214, 1.004840541,
2749.651718153, 1.004542041,
2749.672150291, 1.004122921,
2749.692582329, 1.004739310,
2749.713014267, 1.004556681,
2749.733446404, 1.004819502,
2749.753878441, 1.004295426,
2749.774310377, 1.004398509,
2749.794742513, 1.004349533,
2749.815174549, 1.004561371,
2749.835606484, 1.004306534,
2749.856038619, 1.004239518,
2749.876470653, 1.004241543,
2749.917334721, 1.004278180,
2749.937766755, 1.004357846,
2749.958198688, 1.004175109,
2749.978630820, 1.004263526,
2749.999062853, 1.004048879,
2750.019494785, 1.003831394,
2750.039926916, 1.003900053,
2750.060358947, 1.004149137,
2750.080790978, 1.003671699,
2750.101223008, 1.003988461,
2750.121655038, 1.004154896,
2750.142087068, 1.003751894,
2750.162519097, 1.003724255,
2750.182951126, 1.004079047,
2750.203383254, 1.003142756,
2750.223815183, 1.003985059,
2750.244247210, 1.003532030,
2750.264679337, 1.004257214,
2750.285111264, 1.003962458,
2750.305543291, 1.004235424,
2750.325975417, 1.003479054,
2750.346407343, 1.003677588,
2750.366839369, 1.003454385,
2750.387271494, 1.003269119,
2750.407703419, 1.003730085,
2750.428135443, 1.003862520,
2750.448567566, 1.003429434,
2750.468999590, 1.004231954,
2750.489431513, 1.003367298,
2750.509863637, 1.003251181,
2750.530295659, 1.003743149,
2750.550727681, 1.003080406,
2750.571159703, 1.003182389,
2750.591591724, 1.003422354,
2750.612023745, 1.003857219,
2750.652887786, 1.003441950,
2750.673319806, 1.003419958,
2750.693751825, 1.003591061,
2750.714183844, 1.003101929,
2750.734615863, 1.003056958,
2750.755047882, 1.003037304,
2750.775479800, 1.003145529,
2750.795911917, 1.002903827,
2750.816343935, 1.003116087,
2750.836775851, 1.003166233,
2750.857207968, 1.003743741,
2750.877639984, 1.003444384,
2750.898072000, 1.002977712,
2750.918504015, 1.002786838,
2750.938936030, 1.003196637,
2750.959368045, 1.002882900,
2750.979800059, 1.002944872,
2751.000232073, 1.002937977,
2751.020664186, 1.002809889,
2751.041096200, 1.003059719,
2751.061528112, 1.002483786,
2751.081960225, 1.002642951,
2751.102392237, 1.002168027,
2751.143256260, 1.002469993,
2751.163688271, 1.002742273,
2751.184120182, 1.012359442,
2751.204552292, 1.002418853,
2751.224984302, 1.002493982,
2751.245416211, 1.002488009,
2751.265848320, 1.002363099,
2751.286280329, 1.001762366,
2751.306712337, 1.002177487,
2751.327144345, 1.002293175,
2751.347576353, 1.002838835,
2751.368008360, 1.002079734,
2751.388440367, 1.002451911,
2751.408872374, 1.002516441,
2751.429304380, 1.002327150,
2751.449736386, 1.001605909,
2751.470168391, 1.002069168,
2751.490600296, 1.001953272,
2751.511032401, 1.002020982,
2751.531464405, 1.001689018,
2751.551896509, 1.001693492,
2751.572328413, 1.001989284,
2751.592760416, 1.002063239,
2751.613192519, 1.001785631,
2751.633624422, 1.001672848,
2751.654056424, 1.001769485,
2751.674488526, 1.001662330,
